"Company","Parent Company","Penalty Amount","Subtraction From Penalty","Penalty Amount Adjusted For Eliminating Multiple Counting","Penalty Year","Penalty Date","Offense Group","Primary Offense","Secondary Offense","Description","Level of Government","Action Type","Agency","Civil/Criminal","Prosecution Agreement","Court","Case ID","Private Litigation Case Title","Lawsuit Resolution","Facility State","City","Address","Zip","NAICS Code","NAICS Translation","HQ Country of Parent","HQ State of Parent","Ownership Structure","Parent Company Stock Ticker","Major Industry of Parent","Specific Industry of Parent","Info Source","Notes"
"St. Joseph Medical Center","","$22,000,000","$0","$22,000,000","2010","20101109","government-contracting-related offenses","False Claims Act and related","kickbacks and bribery","St. Joseph Medical Center in Towson, Md., agreed to pay the United States $22 million to settle allegations under the False Claims Act that it paid unlawful remuneration under the Anti-Kickback Act and violated the Stark Law when it entered into a series of professional services contracts with the Pikesville, Md., based cardiology group, MidAtlantic Cardiovascular Associates.","federal","agency action","Justice Department Civil Division","civil","","","","","","Maryland","Towson","","","","","","","","","","","https://www.justice.gov/opa/pr/st-joseph-medical-center-maryland-pay-us-22-million-resolve-false-claims-act-allegations",""
"St. Joseph's Medical Center","","$4,900,000","$0","$4,900,000","2013","20130207","government-contracting-related offenses","False Claims Act and related","","St. Joseph's Medical Center, a hospital located in Towson, Md., reached a settlement with the United States to pay $4.9 million in connection with its submission of false claims to Medicare, Medicaid and other federal healthcare programs.","federal","agency action","Justice Department Civil Division","civil","","","","","","Maryland","Towson","","","","","","","","","","","https://www.justice.gov/opa/pr/maryland-s-st-joseph-s-medical-center-agrees-pay-49-million-medically-unnecessary-hospital",""
"St. Joseph's Regional Medical Center","","$107,000","$0","$107,000","2002","20020604","government-contracting-related offenses","False Claims Act and related","","Seven hospitals agreed to pay the United States more than $6.3 million to settle allegations that the facilities unlawfully charged federal health care programs for surgical procedures using experimental cardiac devices.","federal","agency action","Justice Department Civil Division","civil","","","","","","Indiana","South Bend","","","","","","","","","","","https://www.justice.gov/archive/opa/pr/2002/June/02_civ_330.htm",""
"St. Jude Medical Inc.","Abbott Laboratories","$3,725,000","$0","$3,725,000","2010","20100604","government-contracting-related offenses","False Claims Act and related","kickbacks and bribery","St. Jude Medical Inc., a heart device manufacturer; Parma Community General Hospital; and Norton Healthcare have paid the United States $3,898,300 to resolve false claim allegations that St. Jude paid illegal kickbacks to two hospitals to secure heart-device business. The kickbacks included alleged rebates that were ""retroactive"" and paid based on a hospital's previous purchases of St. Jude heart-device equipment and rebates that St. Jude paid for purchases of heart-device equipment sold by its competitors to induce purchases of similar equipment from St. Jude in the future.","federal","agency action","Justice Department Civil Division","civil","","","","","","","","","","","","USA","Illinois","publicly traded","ABT","pharmaceuticals","pharmaceuticals","https://www.justice.gov/opa/pr/heart-device-manufacturer-minnesota-and-hospitals-ohio-kentucky-pay-nearly-4-million-resolve",""
"St. Jude Medical Inc.","Abbott Laboratories","$3,650,000","$0","$3,650,000","2012","20120531","government-contracting-related offenses","False Claims Act and related","","St. Jude Medical Inc. agreed to pay the United States $3.65 million to resolve civil allegations under the False Claims Act that the company inflated the cost of replacement pacemakers and defibrillators purchased by the Departments of Defense and Veterans Affairs.","federal","agency action","Justice Department Civil Division","civil","","","","","","","","","","","","USA","Illinois","publicly traded","ABT","pharmaceuticals","pharmaceuticals","https://www.justice.gov/opa/pr/minnesota-based-st-jude-medical-pays-us-365-million-settle-claims-it-overcharged-implantable",""
"St. Luke's Episcopal Hospital","","$575,000","$0","$575,000","2003","20030221","government-contracting-related offenses","False Claims Act and related","","The United States reached settlements with five hospitals in Texas, Washington, Oregon and Florida to pay $4.9 million for the alleged billing of Medicare for medical procedures involving unapproved experimental cardiac devices in violation of the False Claims Act.","federal","agency action","Justice Department Civil Division","civil","","","","","","Texas","Houston","","","","","","","","","","","https://www.justice.gov/archive/opa/pr/2003/February/03_civ_103.htm",""
"St. Mary's of Michigan Hospital","Ascension Health","$260,065","$0","$260,065","2010","20100517","government-contracting-related offenses","False Claims Act and related","","Nine hospitals agreed to pay the United States more than $9.4 million to settle allegations that the health care facilities submitted false claims to Medicare. The settlements resolved allegations that the hospitals overcharged Medicare between 2000 and 2008 when performing kyphoplasty, a minimally-invasive procedure used to treat certain spinal fractures that often are due to osteoporosis. In many cases, the procedure can be performed safely as a less costly out-patient procedure, but the government contends that the hospitals performed the procedure on an in-patient basis in order to increase their Medicare billings.","federal","agency action","Justice Department Civil Division","civil","","","","","","Michigan","Saginaw","","","","","USA","Missouri","non-profit","","healthcare services","healthcare services","https://www.justice.gov/opa/pr/nine-hospitals-seven-states-pay-us-more-94-million-resolve-false-claims-act-allegations",""
"St. Vincent Healthcare and Holy Rosary Healthcare","SCL Health","$3,950,000","$0","$3,950,000","2013","20130501","government-contracting-related offenses","False Claims Act and related","","St. Vincent Healthcare, a hospital located in Billings, Mont., and Holy Rosary Healthcare, a hospital located in Miles City, Mont., agreed to pay $3.95 million plus interest to resolve allegations that they violated the Stark Law and the False Claims Act by improperly providing incentive pay to physicians that made referrals to the hospitals.","federal","agency action","Justice Department Civil Division","civil","","","","","","Montana","","","","","","USA","Colorado","non-profit","","healthcare services","hospitals","https://www.justice.gov/opa/pr/montana-hospitals-agree-pay-395-million-resolve-alleged-false-claims-act-and-stark-law",""
"St. Vincent's Birmingham Hospita","Ascension Health","$422,748","$0","$422,748","2009","20090929","government-contracting-related offenses","False Claims Act and related","","Six hospitals in Indiana and Alabama have agreed to pay the United States more than $8 million to settle allegations that the health care facilities submitted false claims to Medicare.","federal","agency action","Justice Department Civil Division","civil","","","","","","Alabama","Birmingham","","","","","USA","Missouri","non-profit","","healthcare services","healthcare services","https://www.justice.gov/opa/pr/indiana-and-alabama-hospitals-pay-us-over-8-million-settle-false-claims-act-allegations",""
"St. Vincent's East Hospital","Ascension Health","$1,459,395","$0","$1,459,395","2009","20090929","government-contracting-related offenses","False Claims Act and related","","Six hospitals in Indiana and Alabama have agreed to pay the United States more than $8 million to settle allegations that the health care facilities submitted false claims to Medicare.","federal","agency action","Justice Department Civil Division","civil","","","","","","Alabama","Birmingham","","","","","USA","Missouri","non-profit","","healthcare services","healthcare services","https://www.justice.gov/opa/pr/indiana-and-alabama-hospitals-pay-us-over-8-million-settle-false-claims-act-allegations",""
"Staples Contract and Commercial","Sycamore Partners Management","$7,400,000","$0","$7,400,000","2005","20051018","government-contracting-related offenses","False Claims Act and related","","Staples Contract and Commercial, a division of office products giant Staples, Inc., paid the United States $7.4 million to settle allegations that it submitted false claims when it sold office supply products manufactured in countries not permitted by the Trade Agreements Act to United States government agencies.","federal","agency action","Justice Department Civil Division","civil","","","","","","","","","","","","USA","New York","privately held","","private equity (including portfolio companies)","private equity (including portfolio companies)","https://www.justice.gov/archive/opa/pr/2005/October/05_civ_549.html",""
"Stevens & Tull Development Ltd","","$5,000","$0","$5,000","2006","20060131","government-contracting-related offenses","federal leasing royalty violation","","CP04-021","federal","agency action","Interior Department Office of Natural Resources Revenue","civil","","","","","","","","","","","","","","","","","","FOIA274","Source document obtained through a Freedom of Information Act request to the agency."
"Stevens & Tull Development Ltd","","$5,000","$0","$5,000","2005","20050902","government-contracting-related offenses","federal leasing royalty violation","","CP04-021","federal","agency action","Interior Department Office of Natural Resources Revenue","civil","","","","","","","","","","","","","","","","","","FOIA271","Source document obtained through a Freedom of Information Act request to the agency."
"Stevens & Tull Development Ltd","","$5,000","$0","$5,000","2005","20051003","government-contracting-related offenses","federal leasing royalty violation","","CP04-021","federal","agency action","Interior Department Office of Natural Resources Revenue","civil","","","","","","","","","","","","","","","","","","FOIA272","Source document obtained through a Freedom of Information Act request to the agency."
"Stevens & Tull Development Ltd","","$5,000","$0","$5,000","2005","20051230","government-contracting-related offenses","federal leasing royalty violation","","CP04-021","federal","agency action","Interior Department Office of Natural Resources Revenue","civil","","","","","","","","","","","","","","","","","","FOIA273","Source document obtained through a Freedom of Information Act request to the agency."
"SunGard Business Systems","Fidelity National Information Services","$425,000","$0","$425,000","2004","20040322","government-contracting-related offenses","False Claims Act and related","","SunGard Business Systems agreed to pay the United States $425,000 to settle allegations that it violated the False Claims Act in connection with a subcontract to deliver an automated record-keeping system to the Federal Retirement Thrift Investment Board.","federal","agency action","Justice Department Civil Division","civil","","","","","","","","","","","","USA","Florida","publicly traded","FIS","information technology","information technology","https://www.justice.gov/archive/opa/pr/2004/March/04_crt_177.htm",""
"Sunoco, Inc.","Energy Transfer","$200,000","$0","$200,000","2000","20000606","government-contracting-related offenses","False Claims Act and related","federal leasing royalty violation","Sunoco agreed to pay $200,000 to resolve claims that it underpaid royalties due for oil produced on Federal and Indian leases between January 1, 1988 and December 31, 1998.","federal","agency action","Justice Department Civil Division","civil","","","","","","","","","","","","USA","Texas","publicly traded","ETP","pipelines","pipelines","https://www.justice.gov/archive/opa/pr/2000/June/319civ.htm",""
"SunTrust Mortgage Inc.","Truist Financial","$418,000,000","$0","$418,000,000","2014","20140617","government-contracting-related offenses","False Claims Act and related","mortgage abuses","The Justice Department, Department of Housing and Urban Development, and the Consumer Financial Protection Bureau, along with 49 state attorneys general and the District of Columbia's attorney general have reached an agreement with SunTrust Mortgage Inc. to address mortgage origination, servicing, and foreclosure abuses. As part of the settlement, SunTrust agreed to pay $418 million to resolve its potential liability under the federal False Claims Act for originating and underwriting loans that violated its obligations as a participant in the Federal Housing Administration insurance program. ","federal","agency action","Justice Department Civil Division","civil","","","","","","","","","","","","USA","North Carolina","publicly traded","TFC","financial services","banking","https://www.justice.gov/opa/pr/federal-government-and-state-attorneys-general-reach-nearly-1-billion-agreement-suntrust",""
"Supreme Foodservice","Supreme Group","$434,360,000","$0","$434,360,000","2014","20141208","government-contracting-related offenses","False Claims Act and related","fraud","Supreme Foodservice GmbH, a privately held Swiss company, and Supreme Foodservice FZE, a privately-held United Arab Emirates company, pleaded guilty to major fraud against the United States and agreed to resolve civil violations of the False Claims Act, in connection with a contract to provide food and water to the U.S. troops serving in Afghanistan.","federal","agency action","Justice Department Civil Division","civil and criminal","","","","","","","","","","","","United Arab Emirates","","privately held","","miscellaneous services","outsourced services","https://www.justice.gov/opa/pr/defense-contractor-pleads-guilty-major-fraud-provision-supplies-us-troops-afghanistan",""
"Sutter Health","Sutter Health","$3,000,000","$0","$3,000,000","2015","20151030","government-contracting-related offenses","False Claims Act and related","","The Department of Justice reached 70 settlements involving 457 hospitals in 43 states for more than $250 million related to cardiac devices that were implanted in Medicare patients in violation of Medicare coverage requirements.","federal","agency action","Justice Department Civil Division","civil","","","","","","","","","","","","USA","California","non-profit","","healthcare services","hospitals","https://www.justice.gov/opa/pr/nearly-500-hospitals-pay-united-states-more-250-million-resolve-false-claims-act-allegations",""
"Sverdrup Technology, Inc.","Jacobs Engineering","$2,500,000","$0","$2,500,000","2001","20010815","government-contracting-related offenses","False Claims Act and related","","Sverdrup Technology, Inc. has agreed to pay $2.5 million to resolve allegations of mischarging the National Aeronautics and Space Administration for work carried out by two laboratories operated by Sverdrup at the Stennis Space Center in Hancock, Mississippi.","federal","agency action","Justice Department Civil Division","civil","","","","","","","","","","","","USA","California","publicly traded","JEC","construction and engineering","construction & engineering","https://www.justice.gov/archive/opa/pr/2001/August/401civ.htm",""
"Synergy Operating LLC","","$10,607","$0","$10,607","2015","20150930","government-contracting-related offenses","federal leasing royalty violation","data submission deficiencies","Company failed to report production on multiple wells/leases for 229 production months.","federal","agency action","Interior Department Office of Natural Resources Revenue","civil","","","","","","","","","","","","","","","","","","https://www.onrr.gov/compliance/PDFDocs/2015.pdf",""
"Synergy Operating LLC","","$5,304","$0","$5,304","2014","20140930","government-contracting-related offenses","federal leasing royalty violation","data submission deficiencies","Company failed to report production on multiple wells/leases.","federal","agency action","Interior Department Office of Natural Resources Revenue","civil","","","","","","","","","","","","","","","","","","https://www.onrr.gov/compliance/PDFDocs/2014.pdf",""
"Taleo Corp.","Oracle","$6,490,000","$0","$6,490,000","2011","20110816","government-contracting-related offenses","False Claims Act and related","","Taleo Corp. agreed to pay the United States $6.49 million to resolve allegations that it knowingly caused false claims to be submitted to the Transportation Security Administration for a software contract.","federal","agency action","Justice Department Civil Division","civil","","","","","","","","","","","","USA","California","publicly traded","ORCL","information technology","software","https://www.justice.gov/opa/pr/california-based-taleo-corp-agrees-pay-us-649-million-resolve-false-claims-act-allegations",""
"TAP Pharmaceutical Products Inc.","Takeda Pharmaceutical","$875,000,000","$0","$875,000,000","2001","20011003","government-contracting-related offenses","False Claims Act and related","fraud","TAP Pharmaceutical agreed to pay a total of $875 million to resolve a  case involving fraudulent pricing and improper marketing of its prostate cancer drug Lupron. The amount included a $290 million criminal fine for violating the Prescription Drug Marketing Act; a $559.5 million False Claims Act civil settlement ; and $25.5 million in payments to state governments.  TAP was formerly a joint venture of Takeda Pharmaceutical and Abbott Laboratories; the companies dissolved the venture in 2008, and Takeda took over most of its operations.","federal","agency action","Justice Department Civil Division","civil and criminal","","","","","","","","","","","","Japan","","publicly traded","","pharmaceuticals","pharmaceuticals","https://www.justice.gov/archive/opa/pr/2001/October/513civ.htm",""
"TeamHealth Holdings","Blackstone","$60,000,000","$0","$60,000,000","2017","20170206","government-contracting-related offenses","False Claims Act and related","","Hospital service provider TeamHealth Holdings, as successor in interest to IPC Healthcare Inc., f/k/a IPC The Hospitalists Inc., agreed to resolve allegations that IPC violated the False Claims Act by billing Medicare, Medicaid, the Defense Health Agency and the Federal Employees Health Benefits Program for higher and more expensive levels of medical service than were actually performed (a practice known as up-coding).","federal","agency action","Justice Department Civil Division","civil","","","","","","","","","","","","USA","New York","publicly traded","BX","private equity (including portfolio companies)","private equity (including portfolio companies)","https://www.justice.gov/opa/pr/healthcare-service-provider-pay-60-million-settle-medicare-and-medicaid-false-claims-act",""
"Technological Research and Development Authority","","$15,000,000","$0","$15,000,000","2012","20121120","government-contracting-related offenses","False Claims Act and related","","The Technological Research and Development Authority  agreed to pay $15 million to resolve allegations that it violated the False Claims Act in connection with grants from the National Aeronautics and Space Administration and the Economic Development Administration of the Department of Commerce. TRDA, which was created by the Florida legislature as a special district, owns and operates a system of incubator facilities to nurture small businesses by providing low-rent office space and business development assistance.","federal","agency action","Justice Department Civil Division","civil","","","","","","Florida","","","","","","","","","","","","https://www.justice.gov/opa/pr/florida-s-technological-research-and-development-authority-pays-15-million-resolve-false",""
"Telephonics Corporation","Griffon","$800,000","$0","$800,000","2000","20000803","government-contracting-related offenses","False Claims Act and related","","Telephonics Corporation agreed to pay the United States $800,000 to resolve charges that the company failed to disclose payments to a Greek representative in connection with two contracts financed under the government's Foreign Military Financing program.","federal","agency action","Justice Department Civil Division","civil","","","","","","","","","","","","USA","New York","publicly traded","GFF","diversified","diversified","https://www.justice.gov/archive/opa/pr/2000/August/452civ.htm",""
"Tenet Healthcare","Tenet Healthcare","$12,100,000","$0","$12,100,000","2015","20151030","government-contracting-related offenses","False Claims Act and related","","The Department of Justice reached 70 settlements involving 457 hospitals in 43 states for more than $250 million related to cardiac devices that were implanted in Medicare patients in violation of Medicare coverage requirements.","federal","agency action","Justice Department Civil Division","civil","","","","","","","","","","","","USA","Texas","publicly traded","THC","healthcare services","healthcare services","https://www.justice.gov/opa/pr/nearly-500-hospitals-pay-united-states-more-250-million-resolve-false-claims-act-allegations",""
"Tenet HealthCare","Tenet Healthcare","$4,300,000","$0","$4,300,000","2003","20030210","government-contracting-related offenses","False Claims Act and related","","Tenet HealthCare paid the United States $4.3 million to settle allegations that five of its Florida hospitals violated the False Claims Act through upcoding. The five hospitals were Coral Gables Hospital, Parkway Regional Medical Center in North Miami Beach, Hollywood Medical Center, Hialeah Hospital and Florida Medical Center in Fort Lauderdale.","federal","agency action","Justice Department Civil Division","civil","","","","","","Florida","","","","","","USA","Texas","publicly traded","THC","healthcare services","healthcare services","https://www.justice.gov/archive/opa/pr/2003/February/03_civ_085.htm",""
"Tenet Healthcare Corporation","Tenet Healthcare","$900,000,000","$0","$900,000,000","2006","20060629","government-contracting-related offenses","False Claims Act and related","kickbacks and bribery","Tenet Healthcare Corporation, operator of a large hospital chain, agreed to pay the United States $900 million for alleged unlawful billing practices.","federal","agency action","Justice Department Civil Division","civil","","","","","","","","","","","","USA","Texas","publicly traded","THC","healthcare services","healthcare services","https://www.justice.gov/archive/opa/pr/2006/June/06_civ_406.html",""
"Tenet Healthcare Corporation","Tenet Healthcare","$513,000,000","$0","$513,000,000","2016","20161003","government-contracting-related offenses","False Claims Act and related","kickbacks and bribery","A major U.S. hospital chain, Tenet Healthcare Corporation, and two of its Atlanta-area subsidiaries agreed to pay over $513 million to resolve criminal charges and civil claims relating to a scheme to defraud the United States and to pay kickbacks in exchange for patient referrals. Tenet HealthSystem Medical Inc. and its subsidiaries entered into a non-prosecution agreement while two other Tenet subsidiaries, Atlanta Medical Center Inc. and North Fulton Medical Center Inc., agreed to plead guilty to conspiracy to defraud the United States and to pay health care kickbacks and bribes in violation of the Anti-Kickback Statute.","federal","agency action","Justice Department Civil Division","civil and criminal","plea & non-prosecution agreement","","","","","","","","","","","USA","Texas","publicly traded","THC","healthcare services","healthcare services","https://www.justice.gov/opa/pr/hospital-chain-will-pay-over-513-million-defrauding-united-states-and-making-illegal-payments",""
"Tenet Healthcare Corporation","Tenet Healthcare","$42,750,000","$0","$42,750,000","2012","20120410","government-contracting-related offenses","False Claims Act and related","","Tenet Healthcare Corporation agreed to pay the United States $42.75 million to settle allegations that it violated the False Claims Act by overbilling the federal Medicare program.","federal","agency action","Justice Department Civil Division","civil","","","","","","","","","","","","USA","Texas","publicly traded","THC","healthcare services","healthcare services","https://www.justice.gov/opa/pr/dallas-based-tenet-healthcare-pays-more-42-million-settle-allegations-improperly-billing",""
"Tenet Healthcare Corporation","Tenet Healthcare","$22,500,000","$0","$22,500,000","2004","20040324","government-contracting-related offenses","False Claims Act and related","","Tenet Healthcare Corporation agreed to pay the United States $22.5 million to resolve allegations that one of its facilities improperly billed Medicare for millions of dollars for referrals provided by doctors with whom the hospital had prohibited financial arrangements.","federal","agency action","Justice Department Civil Division","civil","","","","","","","","","","","","USA","Texas","publicly traded","THC","healthcare services","healthcare services","https://www.justice.gov/archive/opa/pr/2004/March/04_civ_183.htm",""
"Tenet Healthcare Corporation","Tenet Healthcare","$17,000,000","$0","$17,000,000","2002","20020618","government-contracting-related offenses","False Claims Act and related",""," One hundred thirty-nine hospitals currently or formerly operated by Tenet Healthcare Corporation agreed to pay the United States and 22 states $17 million to settle allegations that the facilities overcharged federal health care programs in connection with laboratory services.","federal","agency action","Justice Department Civil Division","civil","","","","","","","","","","","","USA","Texas","publicly traded","THC","healthcare services","healthcare services","https://www.justice.gov/archive/opa/pr/2002/June/02_civ_357.htm",""
"Tennessee Orthopaedic Clinics P.C.","Tennessee Orthopaedic Clinics","$1,300,000","$0","$1,300,000","2014","20140124","government-contracting-related offenses","False Claims Act and related","","Two orthopedic clinics agreed to pay a combined $1.85 million to resolve state and federal False Claims Act allegations that they knowingly billed state and federal health care programs for reimported osteoarthritis medications, known as viscosupplements.","federal","agency action","Justice Department Civil Division","civil","","","","","","Tennessee","","","","","","USA","Tennessee","privately held","","healthcare services","healthcare services","https://www.justice.gov/opa/pr/tennessee-and-virginia-orthopedic-clinics-pay-185-million-settle-allegations-billing-medicare",""
"TesTech, Inc.","","$2,883,947","$0","$2,883,947","2013","20130606","government-contracting-related offenses","False Claims Act and related","","The Justice Department announced that a number of related entities and individuals agreed to pay $2,883,947 to resolve allegations that they falsely claimed disadvantaged business status on a number of federally-funded transportation projects.  These entities are Dayton-based TesTech, Inc. and its owner, Sherif Aziz, and Dayton-based CESO Testing Technology, Inc., CESO International, LLC, and CESO, Inc. and their owners, David and Shery Oakes.","federal","agency action","Justice Department Civil Division","civil","","","","","","","","","","","","","","","","","","https://www.justice.gov/opa/pr/testech-and-ceso-agree-pay-288-million-resolve-false-claims-act-allegations",""
"Teva Pharmaceuticals USA Inc. and  IVAX LLC","Teva Pharmaceutical Industries","$27,600,000","$0","$27,600,000","2014","20140311","government-contracting-related offenses","False Claims Act and related","kickbacks and bribery","Pharmaceutical manufacturer Teva Pharmaceuticals USA Inc. and a subsidiary, IVAX LLC, agreed to pay the government and the state of Illinois $27.6 million for allegedly violating the False Claims Act by making payments to induce prescriptions of an anti-psychotic drug for Medicare and Medicaid beneficiaries.","federal","agency action","Justice Department Civil Division","civil","","","","","","","","","","","","Israel","","publicly traded","TEVA","pharmaceuticals","pharmaceuticals","https://www.justice.gov/opa/pr/pharmaceutical-company-pay-276-million-settle-allegations-involving-false-billings-federal",""
"Texaco","Chevron","$7,345","$0","$7,345","2000","20000604","government-contracting-related offenses","federal leasing royalty violation","","CP00-005","federal","agency action","Interior Department Office of Natural Resources Revenue","civil","","","","","","","","","","","","USA","California","publicly traded","CVX","oil and gas","oil & gas","FOIA275","Source document obtained through a Freedom of Information Act request to the agency."
"Texaco Inc.","Chevron","$43,000,000","$0","$43,000,000","2000","20000927","government-contracting-related offenses","False Claims Act and related","federal leasing royalty violation","Texaco, Inc. agreed to pay $43 million to resolve claims that the oil company underpaid royalties due for oil produced on Federal and Indian leases from January 1, 1980 to December 31, 1998.","federal","agency action","Justice Department Civil Division","civil","","","","","","","","","","","","USA","California","publicly traded","CVX","oil and gas","oil & gas","https://www.justice.gov/archive/opa/pr/2000/September/569civ.htm",""
"Texas Health Resources","Texas Health Resources","$2,900,000","$0","$2,900,000","2015","20151030","government-contracting-related offenses","False Claims Act and related","","The Department of Justice reached 70 settlements involving 457 hospitals in 43 states for more than $250 million related to cardiac devices that were implanted in Medicare patients in violation of Medicare coverage requirements.","federal","agency action","Justice Department Civil Division","civil","","","","","","","","","","","","USA","Texas","non-profit","","healthcare services","hospitals","https://www.justice.gov/opa/pr/nearly-500-hospitals-pay-united-states-more-250-million-resolve-false-claims-act-allegations",""
"Texas Tech University Health Sciences Center","","$2,300,000","$0","$2,300,000","2001","20010212","government-contracting-related offenses","False Claims Act and related","","The Texas Tech University Health Sciences Center agreed to pay the United States $2.3 million to settle allegations that it  overbilled Medicare, Medicaid and TRICARE - the military's health care program.","federal","agency action","Justice Department Civil Division","civil","","","","","","","","","","","","","","","","","","https://www.justice.gov/archive/opa/pr/2001/February/062civ.htm",""
"Tom Harris dba Trace Oil","","$6,776","$0","$6,776","2015","20150930","government-contracting-related offenses","federal leasing royalty violation","data submission deficiencies","Company failed to report production on multiple wells/leases for 34 production months.","federal","agency action","Interior Department Office of Natural Resources Revenue","civil","","","","","","","","","","","","","","","","","","https://www.onrr.gov/compliance/PDFDocs/2015.pdf",""
"Toshiba Corporation","Toshiba","$33,500,000","$0","$33,500,000","2000","20001013","government-contracting-related offenses","False Claims Act and related","","Toshiba Corporation reached a settlement with the United States as part of a class action suit in connection with the company's sale of defective laptop computers to government agencies. The settlement also released Toshiba from liability under the False Claims Act for the sale of defective laptop computers. In addition to paying the United States $23 million, Toshiba agreed to provide the government with $10.5 million in coupons from the company for the purchase of Toshiba products.","federal","agency action","Justice Department Civil Division","civil","","","","","","","","","","","","Japan","","publicly traded","","electrical and electronic equipment","consumer electronics","https://www.justice.gov/archive/opa/pr/2000/October/602civ.htm",""
"Total Fina S.A.","Total S.A.","$15,000,000","$0","$15,000,000","2012","20120222","government-contracting-related offenses","False Claims Act and related","federal leasing royalty violation","Total Fina S.A., Total Minatome Corporation, Total Exploration Production USA Inc., Fina Oil and Chemical Company, Elf Exploration Inc., Total E&P USA Inc. and their affiliates agreed to pay the United States $15 million to resolve claims that the companies violated the False Claims Act by knowingly underpaying royalties owed on natural gas produced from federal and Indian leases.","federal","agency action","Justice Department Civil Division","civil","","","","","","","","","","","","France","","publicly traded","TOT","oil and gas","oil & gas","https://www.justice.gov/opa/pr/total-companies-pay-us-15-million-resolve-allegations-royalty-underpayments-federal-and",""
"Touro Infirmary","LCMC Health","$1,750,000","$0","$1,750,000","2008","20080417","government-contracting-related offenses","False Claims Act and related","kickbacks and bribery","Touro Infirmary, a New Orleans Hospital, agreed to pay the United States $1.75 million to settle allegations that it submitted false claims to the Medicare program.","federal","agency action","Justice Department Civil Division","civil","","","","","","Louisiana","New Orleans","","","","","USA","Louisiana","non-profit","","healthcare services","hospitals","https://www.justice.gov/archive/opa/pr/2008/April/08_civ_316.html",""
"Toyo Ink SC Holdings Co. Ltd.","Toyo Ink","$45,000,000","$0","$45,000,000","2012","20121217","government-contracting-related offenses","False Claims Act and related","trade violations","Japan-based Toyo Ink SC Holdings Co. Ltd. and various affiliated entities agreed to pay $45 million, plus interest, to settle allegations that they violated the False Claims Act by knowingly failing to pay antidumping and countervailing duties.","federal","agency action","Justice Department Civil Division","civil","","","","","","","","","","","","Japan","","publicly traded","","chemicals","inks; coatings","https://www.justice.gov/opa/pr/japanese-based-toyo-ink-and-affiliates-new-jersey-and-illinois-settle-false-claims-allegation",""
"Trend Area Mental Health","","$485,000","$0","$485,000","2001","20010410","government-contracting-related offenses","False Claims Act and related","","Trend Area Mental Health, Developmental and Substance Abuse Services agreed to pay the United States $485,000 to settle allegations that the Henderson, North Carolina-based company overbilled Medicaid.","federal","agency action","Justice Department Civil Division","civil","","","","","","North Carolina","","","","","","","","","","","","https://www.justice.gov/archive/opa/pr/2001/April/162civ.htm",""
"Tri-City Medical Center","","$3,278,464","$0","$3,278,464","2016","20160115","government-contracting-related offenses","False Claims Act and related","","Tri-City Medical Center, a hospital located in Oceanside, California, agreed to pay $3,278,464 to resolve allegations that it violated the Stark Law and the False Claims Act by maintaining financial arrangements with community-based physicians and physician groups that violated the Medicare program's prohibition on financial relationships between hospitals and referring physicians.","federal","agency action","Justice Department Civil Division","civil","","","","","","California","Oceanside","","","","","","","","","","","https://www.justice.gov/opa/pr/california-hospital-pay-more-32-million-settle-allegations-it-violated-physician-self-0",""
"Triad Hospitals","","$428,343","$0","$428,343","2002","20020125","government-contracting-related offenses","False Claims Act and related","","Quorum Health Group successor company, Triad Hospitals of Dallas, and Quorum subsidiary, Gadsden Regional Medical Center, agreed to pay the United States $428,343 to settle claims that they defrauded Medicare.","federal","agency action","Justice Department Civil Division","civil","","","","","","Alabama","","","","","","","","","","","","https://www.justice.gov/archive/opa/pr/2002/January/02_civ_041.htm",""
"Trinitas Regional Medical Center","","$3,020,000","$0","$3,020,000","2009","20091118","government-contracting-related offenses","False Claims Act and related","","The United States entered into a settlement with a New Jersey hospital involving allegations that the hospital defrauded Medicare.","federal","agency action","Justice Department Civil Division","civil","","","","","","New Jersey","Elizabeth","","","","","","","","","","","https://www.justice.gov/opa/pr/new-jersey-hospital-pay-3-million-resolve-allegations-medicare-fraud",""
"Trinity Health","Trinity Health","$5,995,000","$0","$5,995,000","2015","20151030","government-contracting-related offenses","False Claims Act and related","","The Department of Justice reached 70 settlements involving 457 hospitals in 43 states for more than $250 million related to cardiac devices that were implanted in Medicare patients in violation of Medicare coverage requirements.","federal","agency action","Justice Department Civil Division","civil","","","","","","","","","","","","USA","Michigan","non-profit","","healthcare services","hospitals","https://www.justice.gov/opa/pr/nearly-500-hospitals-pay-united-states-more-250-million-resolve-false-claims-act-allegations",""
"Trinity Health","Trinity Health","$3,910,017","$0","$3,910,017","2013","20130702","government-contracting-related offenses","False Claims Act and related","","Fifty-five hospitals in 21 states agreed to pay the United States a total of more than $34 million to settle allegations that they submitted false claims to Medicare for kyphoplasty, a minimally-invasive procedure used to treat certain spinal fractures that often are due to osteoporosis. ","federal","agency action","Justice Department Civil Division","civil","","","","","","","","","","","","USA","Michigan","non-profit","","healthcare services","hospitals","https://www.justice.gov/opa/pr/fifty-five-hospitals-pay-us-more-34-million-resolve-false-claims-act-allegations-related",""
